name,Collection,entry_year,Destination.after.study
"Stewart, George","Early Veterinary Graduates, 1825-1865",1846,"Banffshire, Rothiemay"
"Wilson, James","Early Veterinary Graduates, 1825-1865",1852,Stirlingshire
"Stirling, William","Early Veterinary Graduates, 1825-1865",1843,Ireland
"Ferguson, James","Early Veterinary Graduates, 1825-1865",1839,Cuba
"M'Court, John","Early Veterinary Graduates, 1825-1865",1859,Belfast
"Walker, Robert","Early Veterinary Graduates, 1825-1865",1848,Kirkintilloch
"Williamson, John","Early Veterinary Graduates, 1825-1865",1839,Dalkeith
"Hammond, William","Early Veterinary Graduates, 1825-1865",1845,Witton-Ie-Wear
"Cooper, Job","Early Veterinary Graduates, 1825-1865",1855,"Market Weighton, Yorkshire"
"Bowman, Thomas","Early Veterinary Graduates, 1825-1865",1845,"Fridaythorpe, Yorkshire"
"M'Gillivray, James","Early Veterinary Graduates, 1825-1865",1845,"Rayne, by Insch, Aberdeenshire"
"Oliver, George","Early Veterinary Graduates, 1825-1865",1863,Army
"Stokoe, Thomas","Early Veterinary Graduates, 1825-1865",1864,"Hay, Brecon"
"Robertson, Daniel","Early Veterinary Graduates, 1825-1865",1832,"Strathey, Perthshire"
"Wilson, Archibald","Early Veterinary Graduates, 1825-1865",1838,Africa
"Clelland, James","Early Veterinary Graduates, 1825-1865",1831,Coldstream
"Hill, William Wyatt","Early Veterinary Graduates, 1825-1865",1856,"Coderhead, Lancashire"
"Farquhar, William","Early Veterinary Graduates, 1825-1865",1848,Ayrshire
"Howie, James","Early Veterinary Graduates, 1825-1865",1847,New Deer
"Scrymgeour, James","Early Veterinary Graduates, 1825-1865",1866,"St Johns, New Brunswick"
"Ritchie, Thomas","Early Veterinary Graduates, 1825-1865",1830,"Scotland Well, Kinross"
"M'Kirdy, John","Early Veterinary Graduates, 1825-1865",1834,"Kingarth, Bute"
"Wagstaff, Samuel","Early Veterinary Graduates, 1825-1865",1862,"Leadenham, Lincoln"
"Preston, James","Early Veterinary Graduates, 1825-1865",1860,"Mallow, Ireland"
"Hughes, J. H.","Early Veterinary Graduates, 1825-1865",1866,Swansea
"Birdsall, Francis","Early Veterinary Graduates, 1825-1865",1848,"Dozenhand, Norfolk"
"Shearer, Andrew","Early Veterinary Graduates, 1825-1865",1839,Kirkcudbright
"Blackie, James","Early Veterinary Graduates, 1825-1865",1859,"Bellshill, Lanarkshire"
"M'Donald, James G.","Early Veterinary Graduates, 1825-1865",1844,America
"Lawson, John","Early Veterinary Graduates, 1825-1865",1837,Manchester
"Maxwell, James","Early Veterinary Graduates, 1825-1865",1835,"Dalswinton, Dumfries"
"Arthur, Robert","Early Veterinary Graduates, 1825-1865",1842,Monkland Iron Works
"Balfour, George H.","Early Veterinary Graduates, 1825-1865",1843,Edinburgh
"Bryden, James","Early Veterinary Graduates, 1825-1865",1857,Liverpool
"Wilson, George","Early Veterinary Graduates, 1825-1865",1837,"Bank House, Edinburgh"
